2021-09-18 22:45:40,301 - static - INFO - 
2021-09-18 22:51:15,413 - static - INFO - 
2021-09-18 22:52:41,252 - static - INFO - 
2021-09-18 22:53:07,489 - static - INFO - 
2021-09-18 22:55:07,782 - static - INFO - (sp mode) 第 629 号筛选条件(类别1), 条件范围(16:11:44~16:12:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,784 - static - INFO - (sp mode) 第 630 号筛选条件(类别1), 条件范围(16:12:23~16:14:27), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,787 - static - INFO - (sp mode) 第 632 号筛选条件(类别1), 条件范围(16:14:32~16:15:03), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,791 - static - INFO - (sp mode) 第 634 号筛选条件(类别1), 条件范围(16:15:06~16:15:14), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,792 - static - INFO - (sp mode) 第 635 号筛选条件(类别1), 条件范围(16:15:19~16:15:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,797 - static - INFO - (sp mode) 第 638 号筛选条件(类别1), 条件范围(16:16:10~16:16:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,801 - static - INFO - (sp mode) 第 640 号筛选条件(类别1), 条件范围(16:16:33~16:16:52), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,802 - static - INFO - (sp mode) 第 641 号筛选条件(类别1), 条件范围(16:16:54~16:16:56), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,806 - static - INFO - (sp mode) 第 643 号筛选条件(类别1), 条件范围(16:17:07~16:17:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,809 - static - INFO - (sp mode) 第 645 号筛选条件(类别1), 条件范围(16:17:27~16:17:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,814 - static - INFO - (sp mode) 第 647 号筛选条件(类别1), 条件范围(16:17:54~16:17:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,820 - static - INFO - (sp mode) 第 649 号筛选条件(类别1), 条件范围(16:18:05~16:18:55), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,823 - static - INFO - (sp mode) 第 650 号筛选条件(类别1), 条件范围(16:18:57~16:19:02), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,827 - static - INFO - (sp mode) 第 652 号筛选条件(类别1), 条件范围(16:19:05~16:19:42), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,831 - static - INFO - (sp mode) 第 654 号筛选条件(类别1), 条件范围(16:19:47~16:20:14), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,834 - static - INFO - (sp mode) 第 656 号筛选条件(类别1), 条件范围(16:20:18~16:20:32), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,840 - static - INFO - (sp mode) 第 659 号筛选条件(类别1), 条件范围(16:24:33~16:24:42), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,843 - static - INFO - (sp mode) 第 661 号筛选条件(类别1), 条件范围(16:24:46~16:25:13), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,849 - static - INFO - (sp mode) 第 665 号筛选条件(类别1), 条件范围(16:26:51~16:27:01), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,856 - static - INFO - (sp mode) 第 669 号筛选条件(类别1), 条件范围(16:28:11~16:29:27), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,859 - static - INFO - (sp mode) 第 671 号筛选条件(类别1), 条件范围(16:29:33~16:30:19), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,865 - static - INFO - (sp mode) 第 674 号筛选条件(类别1), 条件范围(16:30:36~16:30:41), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,867 - static - INFO - (sp mode) 第 675 号筛选条件(类别1), 条件范围(16:41:20~16:43:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,871 - static - INFO - (sp mode) 第 677 号筛选条件(类别1), 条件范围(16:43:21~16:44:20), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,875 - static - INFO - (sp mode) 第 679 号筛选条件(类别1), 条件范围(16:44:28~16:44:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,882 - static - INFO - (sp mode) 第 682 号筛选条件(类别1), 条件范围(16:44:43~16:44:50), 耗时 0.0 秒, 筛选结果为 0 条数据
